id,name,lat,lon
Albacete,"Albacete, Spain",38.83333,-2
Alicante/Alacant,"Alicante, Spain",38.5,-0.5
Almería,"Almería, Spain",37.16667,-2.33333
Araba/Álava,"Álava, Spain",42.83333,-2.75
Asturias,"Asturias, Spain",43.33333,-6
Badajoz,"Badajoz, Spain",38.66667,-6.16667
"Balears, Illes","Balearic Islands, Spain",39.5,3
Barcelona,"Barcelona, Spain",41.45,2.08333
Bizkaia,"Biscay, Spain",43.25,-2.98333
Burgos,"Burgos, Spain",42.38333,-3.66667
Cantabria,"Cantabria, Spain",43.33333,-4
Castellón/Castelló,"Castellón, Spain",40.16667,-0.16667
Ceuta,"Ceuta, Spain",35.88667,-5.3
Ciudad Real,"Ciudad Real, Spain",39,-4
"Coruña, A","Alicante, Spain",38.5,-0.5
Cuenca,"Cuenca, Spain",40,-2
Cáceres,"Cáceres, Spain",39.66667,-6
Cádiz,"Cádiz, Spain",36.5,-5.75
Córdoba,"Córdoba, Spain",38,-4.83333
Gipuzkoa,"Gipuzkoa, Spain",43.16667,-2.16667
Girona,"Girona, Spain",42.16667,2.66667
Granada,"Granada, Spain",37.25,-3.25
Guadalajara,"Guadalajara, Spain",40.83333,-2.5
Huelva,"Huelva, Spain",37.66667,-7
Huesca,"Huesca, Spain",42.16667,-0.16667
Jaén,"Jaén, Spain",38,-3.5
León,"León, Spain",42.634283,-5.971092
Lleida,"Lleida, Spain",42,1.16667
Lugo,"Lugo, Spain",43,-7.5
Madrid,"Madrid, Spain",40.41889,-3.69194
Melilla,"Melilla, Spain",35.2825,-2.9475
Murcia,"Murcia, Spain",38,-1.83333
Málaga,"Málaga, Spain",36.71667,-4.41667
Navarra,"Navarre, Spain",42.81667,-1.65
Ourense,"Ourense, Spain",42.16667,-7.5
Palencia,"Palencia, Spain",42.41667,-4.5
"Palmas, Las",Not found
Pontevedra,"Pontevedra, Spain",42.5,-8.5
"Rioja, La","La Rioja, Spain",42.25,-2.5
Salamanca,"Salamanca, Spain",40.83333,-6
Santa Cruz de Tenerife,Not found
Segovia,"Segovia, Spain",40.95,-4.11667
Sevilla,"Seville, Spain",37.5,-5.5
Soria,"Soria, Spain",41.66667,-2.66667
Tarragona,"Tarragona, Spain",41.16667,1
Teruel,"Teruel, Spain",40.34361,-1.10722
Toledo,"Toledo, Spain",39.86667,-4.03333
Valencia/València,"Valencia, Spain",39.33333,-0.83333
Valladolid,"Valladolid, Spain",41.58333,-4.66667
Zamora,"Zamora, Spain",41.75,-6
Zaragoza,"Zaragoza, Spain",41.58333,-1
Ávila,"Ávila, Spain",40.58333,-5
