name,id,lat,lon
Albacete,2,38.83333,-2
Alicante/Alacant,3,38.5,-0.5
Almería,4,37.16667,-2.33333
Araba/Álava,1,42.83333,-2.75
Asturias,33,43.33333,-6
Badajoz,6,38.66667,-6.16667
"Balears, Illes",7,39.5,3
Barcelona,8,41.45,2.08333
Bizkaia,48,43.25,-2.98333
Burgos,9,42.38333,-3.66667
Cantabria,39,43.33333,-4
Castellón/Castelló,12,40.16667,-0.16667
Ceuta,51,35.88667,-5.3
Ciudad Real,13,39,-4
"Coruña, A",15,38.5,-0.5
Cuenca,16,40,-2
Cáceres,10,39.66667,-6
Cádiz,11,36.5,-5.75
Córdoba,14,38,-4.83333
Gipuzkoa,20,43.16667,-2.16667
Girona,17,42.16667,2.66667
Granada,18,37.25,-3.25
Guadalajara,19,40.83333,-2.5
Huelva,21,37.66667,-7
Huesca,22,42.16667,-0.16667
Jaén,23,38,-3.5
León,24,42.634283,-5.971092
Lleida,25,42,1.16667
Lugo,27,43,-7.5
Madrid,28,40.41889,-3.69194
Melilla,52,35.2825,-2.9475
Murcia,30,38,-1.83333
Málaga,29,36.71667,-4.41667
Navarra,31,42.81667,-1.65
Ourense,32,42.16667,-7.5
Palencia,34,42.41667,-4.5
"Palmas, Las",35,,
Pontevedra,36,42.5,-8.5
"Rioja, La",26,42.25,-2.5
Salamanca,37,40.83333,-6
Santa Cruz de Tenerife,38,,
Segovia,40,40.95,-4.11667
Sevilla,41,37.5,-5.5
Soria,42,41.66667,-2.66667
Tarragona,43,41.16667,1
Teruel,44,40.34361,-1.10722
Toledo,45,39.86667,-4.03333
Valencia/València,46,39.33333,-0.83333
Valladolid,47,41.58333,-4.66667
Zamora,49,41.75,-6
Zaragoza,50,41.58333,-1
Ávila,5,40.58333,-5
